year_film;year_ceremony;film;winner
2006;25/02/2007;Babel;FALSO
2006;25/02/2007;The Departed;VERDADEIRO
2006;25/02/2007;Letters from Iwo Jima;FALSO
2006;25/02/2007;Little Miss Sunshine;FALSO
2006;25/02/2007;The Queen;FALSO
2007;24/02/2008;Atonement;FALSO
2007;24/02/2008;Juno;FALSO
2007;24/02/2008;Michael Clayton;FALSO
2007;24/02/2008;No Country for Old Men;VERDADEIRO
2007;24/02/2008;There Will Be Blood;FALSO
2008;22/02/2009;The Curious Case of Benjamin Button;FALSO
2008;22/02/2009;FrostNixon;FALSO
2008;22/02/2009;Milk;FALSO
2008;22/02/2009;The Reader;FALSO
2008;22/02/2009;Slumdog Millionaire;VERDADEIRO
2009;07/03/2010;Avatar;FALSO
2009;07/03/2010;The Blind Side;FALSO
2009;07/03/2010;District 9;FALSO
2009;07/03/2010;An Education;FALSO
2009;07/03/2010;The Hurt Locker;VERDADEIRO
2009;07/03/2010;Inglourious Basterds;FALSO
2009;07/03/2010;Precious: Based on the Novel Push by Sapphire;FALSO
2009;07/03/2010;A Serious Man;FALSO
2009;07/03/2010;Up;FALSO
2009;07/03/2010;Up in the Air;FALSO
2010;27/02/2011;Black Swan;FALSO
2010;27/02/2011;The Fighter;FALSO
2010;27/02/2011;Inception;FALSO
2010;27/02/2011;The Kids Are All Right;FALSO
2010;27/02/2011;The King's Speech;VERDADEIRO
2010;27/02/2011;127 Hours;FALSO
2010;27/02/2011;The Social Network;FALSO
2010;27/02/2011;Toy Story 3;FALSO
2010;27/02/2011;True Grit;FALSO
2010;27/02/2011;Winter's Bone;FALSO
2011;26/02/2012;The Artist;VERDADEIRO
2011;26/02/2012;The Descendants;FALSO
2011;26/02/2012;Extremely Loud and Incredibly Close;FALSO
2011;26/02/2012;The Help;FALSO
2011;26/02/2012;Hugo;FALSO
2011;26/02/2012;Midnight in Paris;FALSO
2011;26/02/2012;Moneyball;FALSO
2011;26/02/2012;The Tree of Life;FALSO
2011;26/02/2012;War Horse;FALSO
2012;24/02/2013;Amour;FALSO
2012;24/02/2013;Argo;VERDADEIRO
2012;24/02/2013;Beasts of the Southern Wild;FALSO
2012;24/02/2013;Django Unchained;FALSO
2012;24/02/2013;Les Miserables;FALSO
